id,nombre,tipo
151,TE-MONT 3Ø DOBL TERM (MT-316)Nº(336-477) C6,ARMADOS TIPO PIN Y CAMPANA
152,TE-MONT 3Ø DOBL TERM Nº(MT-316)(336-477) C8,ARMADOS TIPO PIN Y CAMPANA
153,TE-MONT 3Ø DOBL TERM Nº(MT-316)(336-477) C8 EC-MT,ARMADOS TIPO PIN Y CAMPANA
154,TE-MONT 3Ø ALIN EN VOLADIZO (MT-319),ARMADOS TIPO PIN Y CAMPANA
155,TE-MONT 3Ø AL VOLAD CRUC DE 6' (MT-321),ARMADOS TIPO PIN Y CAMPANA
156,TE-MONT 3Ø VOLAD LIN ANG(6-25º)(MT-322),ARMADOS TIPO PIN Y CAMPANA
157,TE-MONT 3Ø DOBLE TER LIN (0-5º)(LB-601),ARMADOS TIPO PIN Y CAMPANA
158,TE-MONT 3Ø DOBLE TERN LIN(6-25º)(LB-603),ARMADOS TIPO PIN Y CAMPANA
159,TE-MONT 3Ø DOBLE TERN (26-60º)(LB 606),ARMADOS TIPO PIN Y CAMPANA
160,TE-MONT 3Ø DOBL TERN LIN(61-90º)(LB-607),ARMADOS TIPO PIN Y CAMPANA
161,TE-MONT 3Ø DOBLE TERN ALN VOLAD (LB-608),ARMADOS TIPO PIN Y CAMPANA
162,TE-MONT 3Ø DOB TER (6-25º) VOLAD(LB-610),ARMADOS TIPO PIN Y CAMPANA
163,TE-MONT 3Ø DOB TERNA (LB-611) (2/0-4/0),ARMADOS TIPO PIN Y CAMPANA
164,TE-MONT 3Ø DOBL TERNA (LB-611) (336-477),ARMADOS TIPO PIN Y CAMPANA
165,TE-MONT 3Ø ALIN CON ANG HASTA 5º(MT-301) CON EA-MT,ARMADOS TIPO LINE POST Y POLIMERICO
166,TE-MONT 3Ø DOBL TERM Nº(MT-316)(336-477) C8 EA-MT (TERNA INFERIOR),ARMADOS TIPO LINE POST Y POLIMERICO
167,TE-MONT 2Ø ALIN ANG (0º- 5º)( MT-201),ARMADOS TIPO PIN Y CAMPANA
168,TE-MONT 2Ø LIN CON ANG (6-25º)(MT-202),ARMADOS TIPO PIN Y CAMPANA
169,TE-MONT 2Ø LIN ANG (26-60º)( MT-203),ARMADOS TIPO PIN Y CAMPANA
170,TE-MONT 2Ø LIN CON ANG (61-90º)( MT-204),ARMADOS TIPO PIN Y CAMPANA
171,TE-MONT 2Ø ANG (61-90º)(MT-205)(2/0-4/0),ARMADOS TIPO PIN Y CAMPANA
172,TE-MONT 2Ø FIN LIN VERT(MT-206)(2/0-4/0),ARMADOS TIPO PIN Y CAMPANA
173,TE-MONT 2Ø FIN HOR (MT-207)(2/0-4/0),ARMADOS TIPO PIN Y CAMPANA
174,TE-MONT 2Ø DOBLE TERM VERT (MT-212),ARMADOS TIPO PIN Y CAMPANA
175,TE-MONT 2Ø DOBLE TERM HORIZ (MT-213),ARMADOS TIPO PIN Y CAMPANA
176,TE-MONT 2Ø ALIN ANG HASTA 5º (MT-216),ARMADOS TIPO PIN Y CAMPANA
177,TE-MONT 2Ø VOLAD LIN ANG (6-25º)(MT-217),ARMADOS TIPO PIN Y CAMPANA
178,TE-MONT 3Ø 34.5 KV (MT-301),ARMADOS 34.5 KV
179,TE-MONT 3Ø 34.5 KV (MT-302),ARMADOS 34.5 KV
180,TE-MONT 3Ø 34.5 KV (MT-305) Nº (2/0-4/0),ARMADOS 34.5 KV
181,TE-MONT 3Ø 34.5 KV (MT-305) Nº (336-477),ARMADOS 34.5 KV
182,TE-MONT 3Ø 34.5 KV (MT-307) Nº (2/0-4/0),ARMADOS 34.5 KV
183,TE-MONT 3Ø 34.5 KV (MT-307) Nº (336-477),ARMADOS 34.5 KV
184,TE-MONT 3Ø 34.5 KV (MT-316) (2/0-4/0),ARMADOS 34.5 KV
185,TE-MONT 3Ø 34.5 KV (MT-316) (336-477),ARMADOS 34.5 KV
186,TE-MONT 3Ø 34.5 KV (MT-319),ARMADOS 34.5 KV
187,TE-MONT 3Ø 34.5 KV (MT-321),ARMADOS 34.5 KV
188,TE-MONT 3Ø 34.5 KV (MT-322),ARMADOS 34.5 KV
189,TE-MONT 3Ø DOBLE TERN ALN VOLAD (LB-608) 34.5 kV,ARMADOS 34.5 KV
190,TE-MONT 3Ø DOB TER (6-25º) VOLAD(LB-610) 34.5 kV,ARMADOS 34.5 KV
191,TE-MONT LUMINARIA COMPLETA 150W BRAZO 6 (AP-103)  A TRIPLEX,LUMINARIAS
192,TE-MONT LUMINARIA COMPLETA 150W BRAZO 6 (AP-103) A BORNERA,LUMINARIAS
193,TE-MONT LUMINARIA COMPLETA 250W BRAZO 12 (AP-104) A TRIPLEX,LUMINARIAS
194,TE-MONT LUMINARIA COMPLETA 250W BRAZO 12 (AP-104) A BORNERA,LUMINARIAS
195,TE-MONT LUMINARIA 150W,LUMINARIAS
196,TE-MONT LUMINARIA 250W,LUMINARIAS
197,TE-MONT CT TP 1Ø CSP 7.2 KV 25 KVA,TRANSFORMADORES
198,TE-MONT CT TP 1Ø CSP 7.2 KV 37.5 KVA,TRANSFORMADORES
199,TE-MONT CT TP 1Ø CSP 7.2 KV 50 KVA,TRANSFORMADORES
200,TE-MONT CT TP 1Ø CSP 7.2 KV 75 KVA,TRANSFORMADORES
201,TE-MONT TR TP 1Ø CSP 7.2 KV 25 KVA,TRANSFORMADORES
202,TE-MONT TR TP 1Ø CSP 7.2 KV 37.5 KVA,TRANSFORMADORES
203,TE-MONT TR TP 1Ø CSP 7.2 KV 50 KVA,TRANSFORMADORES
204,TE-MONT TR TP 1Ø CSP 7.2 KV 75 KVA,TRANSFORMADORES
205,TE-MONT CT TP 1Ø CSP BL 25 KVA,TRANSFORMADORES
206,TE-MONT CT TP 1Ø CSP BL 37.5 KVA,TRANSFORMADORES
207,TE-MONT CT TP 1Ø CSP BL 50 KVA,TRANSFORMADORES
208,TE-MONT CT TP 1Ø CSP BL 75 KVA,TRANSFORMADORES
209,TE-MONT CT TP 1Ø RCO 7.2 KV 25 KVA,TRANSFORMADORES
210,TE-MONT CT TP 1Ø RCO 7.2 KV 37.5 KVA,TRANSFORMADORES
211,TE-MONT CT TP 1Ø RCO 7.2 KV 50 KVA,TRANSFORMADORES
212,TE-MONT CT TP 1Ø RCO 7.2 KV 75 KVA,TRANSFORMADORES
213,TE-MONT TR TP 1Ø RCO 7.2 KV 25 KVA,TRANSFORMADORES
214,TE-MONT TR TP 1Ø RCO 7.2 KV 37.5 KVA,TRANSFORMADORES
215,TE-MONT TR TP 1Ø RCO 7.2 KV 50 KVA,TRANSFORMADORES
216,TE-MONT TR TP 1Ø RCO 7.2 KV 75 KVA,TRANSFORMADORES
217,TE-MONT CT TP 1Ø RCO BL 7.2 KV 25 KVA,TRANSFORMADORES
218,TE-MONT CT TP 1Ø RCO BL 7.2 KV 37.5 KVA,TRANSFORMADORES
219,TE-MONT CT TP 1Ø RCO BL 7.2 KV 50 KVA,TRANSFORMADORES
220,TE-MONT CT TP 1Ø RCO BL 7.2 KV 75 KVA,TRANSFORMADORES
221,TE-MONT ETIQUETA DE TRANSFORMADOR,TRANSFORMADORES
